length_bin_min,length_bin_max,gc_percent,expected_count
60,80,0,2036
60,80,1,1727
60,80,3,2304
60,80,4,2658
60,80,6,3346
60,80,7,4045
60,80,9,5448
60,80,10,7378
60,80,11,11483
60,80,13,18101
60,80,14,29792
60,80,16,49341
60,80,17,80129
60,80,19,126787
60,80,20,192045
60,80,21,277565
60,80,23,385591
60,80,24,512140
60,80,26,649259
60,80,27,793891
60,80,29,933984
60,80,30,1062047
60,80,31,1176246
60,80,32,3
60,80,33,1267927
60,80,34,1333925
60,80,35,1
60,80,36,1374543
60,80,37,1382735
60,80,38,1
60,80,39,1368456
60,80,40,1335268
60,80,41,1283157
60,80,42,3
60,80,43,1218863
60,80,44,1144917
60,80,45,1
60,80,46,1063687
60,80,47,974893
60,80,49,886497
60,80,50,807484
60,80,51,742093
60,80,53,692366
60,80,54,658512
60,80,55,2
60,80,56,623283
60,80,57,573986
60,80,58,2
60,80,59,499745
60,80,60,408086
60,80,61,319552
60,80,63,241744
60,80,64,181245
60,80,66,135811
60,80,67,99927
60,80,69,73724
60,80,70,53728
60,80,71,38661
60,80,73,28781
60,80,74,21516
60,80,76,16794
60,80,77,13082
60,80,79,10376
60,80,80,8584
60,80,81,7081
60,80,83,5576
60,80,84,4171
60,80,86,2843
60,80,87,1664
60,80,89,1022
60,80,90,608
60,80,91,332
60,80,93,170
60,80,94,86
60,80,96,35
60,80,97,15
60,80,99,4
60,80,100,10
80,100,0,1438
80,100,1,1065
80,100,2,1264
80,100,3,1651
80,100,4,1733
80,100,6,1781
80,100,7,2200
80,100,8,2492
80,100,9,2864
80,100,10,3620
80,100,11,4728
80,100,12,6149
80,100,13,9101
80,100,14,13839
80,100,16,21458
80,100,17,32939
80,100,18,50950
80,100,19,75956
80,100,20,111643
80,100,21,157708
80,100,22,217913
80,100,23,289688
80,100,24,373872
80,100,26,464400
80,100,27,560670
80,100,28,659429
80,100,29,755761
80,100,30,844744
80,100,31,924854
80,100,32,993179
80,100,33,1050156
80,100,34,1091570
80,100,35,2
80,100,36,1120500
80,100,37,1132199
80,100,38,1125277
80,100,39,1107312
80,100,40,1069920
80,100,41,1029861
80,100,42,981227
80,100,43,935746
80,100,44,893771
80,100,45,1
80,100,46,854501
80,100,47,819168
80,100,48,776778
80,100,49,730768
80,100,50,675705
80,100,51,623610
80,100,52,576820
80,100,53,537977
80,100,54,505197
80,100,56,470264
80,100,57,432227
80,100,58,384607
80,100,59,330582
80,100,60,274429
80,100,61,224304
80,100,62,179521
80,100,63,143979
80,100,64,115993
80,100,65,1
80,100,66,93284
80,100,67,73896
80,100,68,57692
80,100,69,45157
80,100,70,35443
80,100,71,27369
80,100,72,21843
80,100,73,17377
80,100,74,14147
80,100,76,11684
80,100,77,10251
80,100,78,8909
80,100,79,7633
80,100,80,6247
80,100,81,5366
80,100,82,4372
80,100,83,3528
80,100,84,2585
80,100,86,1900
80,100,87,1166
80,100,88,773
80,100,89,471
80,100,90,340
80,100,91,161
80,100,92,104
80,100,93,65
80,100,94,33
80,100,96,11
80,100,97,14
80,100,98,6
80,100,100,6
100,120,0,1112
100,120,1,795
100,120,2,830
100,120,3,1088
100,120,4,1208
100,120,5,2574
100,120,6,1359
100,120,7,1570
100,120,8,1703
100,120,9,1921
100,120,10,2165
100,120,11,2566
100,120,12,3098
100,120,13,3946
100,120,14,5229
100,120,15,17782
100,120,16,15402
100,120,17,22486
100,120,18,33855
100,120,19,48177
100,120,20,69233
100,120,21,96795
100,120,22,131562
100,120,23,173834
100,120,24,226854
100,120,25,633680
100,120,26,419235
100,120,27,490172
